Score,Tokens,Count,Source Code,
12.15046041,6,26,( ) { @ Override public,
11.52746351,6,22,( ) { @ Override public,
11.27988256,5,29,( ) ; } },
10.64385619,4,40,( ) ; },
10.64385619,4,40,) ; } },
10.23795689,3,88,) ; },
9.991256099,3,79,( ) ;,
9.965784285,8,10,; import org . fife . ui .,
9.813781191,4,30,) ; } },
9.714683738,3,70,) ; },
9.509775004,8,9,; import java . awt . event .,
9.169925001,4,24,( ) ; },
8.990581455,3,51,( ) {,
8.942501008,6,11,; import java . awt .,
8.918863237,4,22,@ Override public Object,
8.918863237,4,22,; import java .,
8.491519023,3,41,( ) ;,
8.174925683,4,17,) ; if (,
8.129721237,3,35,; } },
8.063437827,3,34,@ Override public,
8,4,16,} @ Override public,
7.924812504,2,243,) ;,
7.813781191,4,15,; import org .,
7.777237589,3,30,@ Override public,
7.699717706,3,29,) ) ;,
7.699717706,3,29,( ) {,
7.614709844,4,14,( ) ) ;,
7.515699838,2,183,( ),
7.400879436,4,13,) ; if (,
7.400879436,4,13,) { if (,
7.36033792,3,25,; if (,
7.36033792,5,9,== null ) { return,
7.348728154,2,163,) ;,
7.266993631,3,24,; } },
7.2569072,6,7,) ; } @ Override public,
7.238404739,2,151,( ),
7.169925001,4,12,== null ) {,
7.169925001,4,12,@ Override public void,
7.169925001,4,12,( true ) ;,
7.169925001,4,12,) ; } return,
7.06803189,3,22,@ Override public,
7.06803189,3,22,". class """,
6.918863237,4,11,) { if (,
6.857980995,2,116,) {,
6.857980995,2,116,( ),
6.732805815,3,19,; if (,
6.732805815,3,19,) { return,
6.64385619,4,10,null ) { return,
6.64385619,4,10,null ) { return,
6.64385619,4,10,== null ) {,
6.64385619,4,10,( ) ) ;,
6.64385619,4,10,) ) ; },
6.64385619,4,10,; import java .,
6.64385619,4,10,) ; } return,
6.62935662,2,99,; },
6.62935662,2,99,) {,
6.491853096,2,90,; },
6.192275088,3,15,; } @,
6.034514778,3,14,) ) {,
6.034514778,3,14,null ) {,
6.034514778,3,14,) ) ;,
6.002097055,6,5,; } @ Override public void,
6.002097055,5,6,( ) ) ; },
6,4,8,return null ; },
5.865058189,3,13,; } return,
5.614709844,4,7,) ; } else,
5.523561956,2,46,. class,
5.491853096,2,45,; import,
5.491853096,2,45,if (,
5.483069389,3,11,false ) ;,
5.392317423,2,42,) ),
5.391350078,5,5,( ) ) ; },
5.391350078,5,5,e ) { LOG .,
5.391350078,5,5,) ; } } private,
5.391350078,5,5,) { return ; },
5.321928095,2,40,if (,
5.321928095,2,40,{ return,
5.321928095,2,40,} },
5.26513146,3,10,. add (,
5.26513146,3,10,) ) {,
5.247927513,2,38,) ),
5.169925001,4,6,; } public void,
5.169925001,4,6,== null ) {,
5.169925001,6,4,( ) ) ; if (,
5.087462841,2,34,; import,
5.024212257,3,9,; private final,
5.024212257,3,9,. class ),
5.024212257,3,9,null ) {,
5.024212257,3,9,. class ),
5.024212257,3,9,} if (,
4.95419631,2,31,} },
4.754887502,3,8,; } public,
4.64385619,4,5,""", e ) ;
3.680168959767384,3,5,""= mainWindow .
7.169676070039209,3,23,"") { return
5.169925001442312,6,4,""; import org . slf4j .
2.0,2,4,""setBackground (
4.392317422778761,2,21,""public void
9.565497907573887,6,13,""; import javax . swing .
4.169925001442312,2,18,""e )
1.0,2,2,""e .
6.965784284662087,8,5,""; import jadx . gui . utils .
3.4594316186372978,2,11,""static final
2.321928094887362,5,2,"") { if ( node
3.9068905956085187,2,15,""( new
5.169925001442312,4,6,""( ) { return
4.643856189774724,4,5,""{ private static final
2.5121061286922615,3,3,""} if (
7.813781191217037,4,15,""jadx . gui .
1.5849625007211563,2,3,""( mainWindow
4.4495522776762675,7,3,"") ; } @ Override public void
2.5121061286922615,3,3,""CODE_BACKGROUND ) ;
8.840404360733233,5,14,""; } @ Override public
3.1699250014423126,4,3,""; } private void
4.4495522776762675,7,3,""e ) { LOG . error (
2.0,4,2,"") ; private final
6.965784284662087,8,5,""== null ) { return null ; }
1.0,2,2,""SwingUtilities .
5.169925001442312,6,4,"". setVisible ( true ) ;
3.0,2,8,""} return
6.002097054654746,6,5,""private static final long serialVersionUID =
1.5849625007211563,3,2,""true ; }
5.169925001442312,4,6,"") ; } public
5.169925001442312,6,4,""( ) ) ; if (
6.339850002884625,4,9,"") ) ; }
4.4495522776762675,3,7,""; } return
2.321928094887362,5,2,""= Math . min (
6.518476265845872,5,7,""} @ Override public void
6.643856189774725,4,10,""( false ) ;
2.5121061286922615,3,3,"") ; public
4.643856189774724,4,5,""; } } }
1.5849625007211563,2,3,""node ",
4.64385619,5,4,) ; } catch (,
4.64385619,4,5,!= null ) {,
4.64385619,5,4,public void actionPerformed ( ActionEvent,
4.64385619,5,4,) ; } } },
4.64385619,5,4,""", e ) ; }
2.0,4,2,""( ) . height
4.392317422778761,21,2,""; import org . fife . ui . rsyntaxtextarea . RSyntaxTextArea ; import org . fife . ui . rsyntaxtextarea .
4.754887502163469,3,8,""private static final
2.321928094887362,2,5,""final Color
6.850093961209697,3,20,""( ) )
3.1699250014423126,4,3,""} } private class
1.5849625007211563,3,2,""( ) +
3.1699250014423126,4,3,""; public static final
2.807354922057604,2,7,""mainWindow .
6.961658406368529,3,21,""( ) .
2.584962500721156,2,6,""Math .
1.0,2,2,"") obj
1.0,2,2,""Color .
7.813781191217037,4,15,""; import jadx .
3.3219280948873626,10,2,""; import jadx . gui . utils . Position ;
3.680168959767384,3,5,"") ; private
6.0,4,8,"") ; } @
9.580138018762625,3,66,""( ) ;
1.0,2,2,""mainWindow =
6.682031130134573,6,6,""( ) { @ Override public
3.0,2,8,""0 )
4.0970686294134175,3,6,"") ) {
3.5849625007211565,12,2,""; } catch ( Exception e ) { LOG . error (
3.1699250014423126,4,3,"") ; } private
4.4495522776762675,3,7,""; this .
6.4784753264729416,3,17,""null ) {
2.584962500721156,2,6,""= mainWindow
3.1699250014423126,3,4,""; } private
2.5121061286922615,3,3,""1 ) {
1.5849625007211563,2,3,""MainWindow mainWindow
8.339850002884624,4,18,""( ) ; }
9.965784284662089,10,8,""; import org . fife . ui . rsyntaxtextarea .
2.321928094887362,2,5,""try {
7.360337919534768,5,9,""( ) ; if (
2.584962500721156,2,6,""1 )
3.1699250014423126,4,3,""node ) ; }
1.0,2,2,""foreground =
3.5849625007211565,2,12,"". ui
5.882643049361842,2,59,""; import
9.362200089901958,3,60,"") ; }
8.339850002884624,4,18,"") ; } }
5.391350077827255,5,5,"") ; } public void
8.063437827194099,3,34,""( ) {
1.0,2,2,""2 )
2.584962500721156,6,2,""= mainWindow . getCacheObject ( )
6.965784284662087,5,8,"") ; } if (
5.265131460488541,3,10,""if ( !
3.3219280948873626,2,10,""null )
12.004194109309491,6,25,"") ; } } ) ;
5.6820311301345745,3,12,"") { return
4.643856189774724,5,4,"") ; } } }
5.391350077827255,5,5,"") ; } else {
9.509775004326938,4,27,""} } ) ;
1.5849625007211563,2,3,""} ;
3.1699250014423126,3,4,""> ( )
1.5849625007211563,2,3,""public static
2.584962500721156,2,6,""} private
3.0,2,8,""} else
6.9188632372745955,2,121,"") {
2.584962500721156,6,2,"". * ; import java .
1.5849625007211563,3,2,""; public static
8.339850002884624,4,18,"") { if (
3.700439718141092,13,2,""; import java . util . HashMap ; import java . util .
12.69924392256918,7,23,""( ) ; } } ) ;
5.265131460488541,3,10,""} if (
2.807354922057604,2,7,""= (
4.4495522776762675,7,3,"") ; } } ) ; }
6.643856189774725,4,10,""( ) ) ;
3.1699250014423126,2,9,""; return
4.643856189774724,4,5,"") ; } public
5.554588851677638,2,47,""} }
3.1699250014423126,4,3,""= new HashMap <
2.584962500721156,6,2,""( ) ) ; if (
5.614709844115208,4,7,"") ) ; }
2.584962500721156,6,2,""== null ) { if (
6.339850002884625,4,9,""; } if (
6.768184324776926,2,109,""; }
1.5849625007211563,2,3,""Map <
3.0,8,2,""; import java . util . Map ;
5.491853096329675,2,45,""if (
5.491853096329675,2,45,"". class
3.680168959767384,5,3,""( ) ) ; }
8.600426155187709,3,43,""; } }
7.360337919534768,3,25,"") ) ;
3.1699250014423126,4,3,"". * ; import
7.25690719973387,6,7,""; import java . util .
6.034514778397423,3,14,""; if (
2.584962500721156,2,6,""( int
2.0,4,2,""null ) { return
5.426264754702098,2,43,""put (
5.044394119358453,2,33,""{ return
2.807354922057604,2,7,""== null
6.339850002884625,3,16,""( ) )
6.192275088459645,3,15,""( ) ",
4.584962501,2,24,) .,
4.584962501,2,24,) ),
4.449552278,3,7,return ; },
4.449552278,3,7,) ; return,
4.449552278,3,7,. setVisible (,
4.449552278,3,7,) ; return,
4.392317423,2,21,#NAME?,
4.247927513,19,2,package jadx . gui . ui ; import javax . swing . * ; import javax . swing .,
4.247927513,2,19,null ),
4.169925001,18,2,; import org . slf4j . Logger ; import org . slf4j . LoggerFactory ; import jadx .,
4.169925001,18,2,; import java . awt . * ; import java . awt . event . ActionEvent ; import,
4.169925001,2,18,#NAME?,
4.097068629,6,3,; } @ Override public int,
4.097068629,3,6,node ) ;,
4.097068629,3,6,} } },
4.097068629,3,6,!= null ),
4.097068629,3,6,; } public,
4.087462841,2,17,} @,
4.087462841,2,17,jadx .,
4.087462841,2,17,") """,
4,4,4,. * ; import,
4,4,4,. getSettings ( ),
4,4,4,) { try {,
4,4,4,Math . max (,
4,4,4,( node ) ;,
4,4,4,) ; this .,
4,4,4,; private final transient,
4,4,4,!= null ) {,
3.906890596,15,2,; import jadx . gui . treemodel . JNode ; import jadx . gui .,
3.906890596,2,15,( node,
3.906890596,2,15,; private,
3.906890596,2,15,null ),
3.807354922,2,14,) .,
3.807354922,2,14,} return,
3.807354922,2,14,) .,
3.700439718,2,13,add (,
3.700439718,2,13,== null,
3.68016896,3,5,( node .,
3.68016896,5,3,= Math . max (,
3.68016896,3,5,= Math .,
3.68016896,3,5,} private void,
3.68016896,3,5,) { int,
3.68016896,3,5,) ; int,
3.68016896,3,5,if ( node,
3.68016896,3,5,!= null ),
3.68016896,5,3,) ) ; } private,
3.459431619,2,11,private final,
3.459431619,11,2,{ private static final Logger LOG = LoggerFactory . getLogger (,
3.321928095,2,10,node .,
3.321928095,10,2,. class ) ; private static final long serialVersionUID =,
3.321928095,10,2,@ Override public void actionPerformed ( ActionEvent e ) {,
3.321928095,2,10,null ;,
3.321928095,2,10,} private,
3.321928095,2,10,textArea .,
3.321928095,2,10,this .,
3.169925001,4,3,; private static final,
3.169925001,3,4,"( 0 """,
3.169925001,9,2,""", e ) ; } return null ; }
5.865058189432796,3,13,"". event .
8.0,4,16,""; import java .
4.0,4,4,"") ; } return
6.0,8,4,""; import jadx . gui . treemodel .
4.4495522776762675,7,3,""{ private static final long serialVersionUID =
1.0,2,2,""final int
3.4594316186372978,2,11,""; public
7.7279204545632,2,212,"") ;
2.584962500721156,6,2,"") ; } } private void
2.321928094887362,5,2,"") ; } private void
5.865058189432796,3,13,""e ) {
9.565497907573887,6,13,""; import jadx . gui .
8.918863237274595,4,22,"") ; if (
1.5849625007211563,3,2,""null ) ;
4.0,4,4,"". getTabbedPane ( )
2.321928094887362,2,5,""( this
4.0970686294134175,3,6,""} } private
2.0,2,4,""RSyntaxTextArea textArea
2.807354922057604,2,7,""", int
3.169925001,3,4,( ) ==,
3.169925001,4,3,) { this .,
3.169925001,4,3,) { super (,
3.169925001,4,3,!= null ) {,
3.169925001,3,4,. get (,
3.169925001,9,2,( ) ; } } ) ; } },
3.169925001,4,3,( ) ; return,
3.169925001,4,3,. * ; import,
3.169925001,4,3,; } } ;,
3.169925001,3,4,} } },
3.169925001,3,4,) ; return,
3.169925001,3,4,; } public,
3.169925001,4,3,) ; } public,
3.169925001,4,3,; } } },
3,2,8,( int,
3,2,8,final transient,
3,2,8,; public,
2.807354922,2,7,node ),
2.807354922,7,2,. setVisible ( true ) ; },
2.807354922,7,2,) ; } @ Override public int,
2.807354922,2,7,{ private,
2.807354922,2,7,#NAME?,
2.584962501,2,6,{ int,
2.584962501,2,6,( (,
2.584962501,2,6,; int,
2.584962501,2,6,"textArea """,
2.584962501,6,2,) ; } } private class,
2.584962501,2,6,private static,
2.584962501,2,6,} private,
2.584962501,6,2,. * ; import java .,
2.584962501,2,6,( (,
2.584962501,2,6,; return,
2.584962501,6,2,( ) ) ; } },
2.512106129,3,3,0 ) {,
2.512106129,3,3,new Position (,
2.512106129,3,3,( CodeArea .,
2.512106129,3,3,"( this """,
2.512106129,3,3,= 0 ;,
2.512106129,3,3,this ) ;,
2.512106129,3,3,1 ) ;,
2.512106129,3,3,; } private,
2.512106129,3,3,; public static,
2.321928095,2,5,node =,
2.321928095,5,2,setEditable ( false ) ;,
2.321928095,5,2,( ) ; } public,
2.321928095,2,5,( CodeArea,
2.321928095,2,5,( 0,
2.321928095,2,5,JNode node,
2.321928095,5,2,e ) { if (,
2.321928095,5,2,!= null ) { return,
2.321928095,5,2,) ; } } },
2.321928095,2,5,= (,
2.321928095,2,5,; public,
2,4,2,. getFont ( ),
2,4,2,== 1 ) {,
2,4,2,) ) { return,
2,4,2,new Position ( node,
2,2,4,= (,
2,4,2,. length ( ),
2,4,2,if ( obj instanceof,
2,4,2,. makeLongString ( ),
2,2,4,"this """,
2,4,2,) ; } private,
2,4,2,) ) { return,
2,4,2,} } if (,
2,2,4,( int,
2,2,4,public static,
2,2,4,private static,
2,4,2,) ) { return,
1.584962501,2,3,false ;,
1.584962501,2,3,setText (,
1.584962501,3,2,= null ;,
1.584962501,3,2,{ private final,
1.584962501,3,2,; private transient,
1.584962501,2,3,setEnabled (,
1.584962501,2,3,. height,
1.584962501,3,2,execute ( ),
1.584962501,2,3,. class,
1.584962501,3,2,. codeJump (,
1.584962501,3,2,"( mainWindow """,
1.584962501,2,3,} static,
1,2,2,setSyntaxEditingStyle (,
1,2,2,setFont (,
1,2,2,} ;,
1,2,2,super .,
1,2,2,] ;,
1,2,2,-1,
1,2,2,Object obj,
1,2,2,( (,
1,2,2,; final,
1,2,2,; class,
